vectorizer,dimensions,classifier,vector_time (s),train_time (s),accuracy,precision,recall,f1
Pt-BR_Word2Vec,600,None,mixed,515.5866510000001,604.3022127999998,0.9692250648869114,0.9664564943253467,0.9506325973703795,0.9584792396198099
Pt-BR_Word2Vec,1000,None,mixed,884.8702071999996,893.0346563000003,0.9700593251761216,0.9719959266802444,0.9471595137682957,0.9594170121874607
Pt-BR_Word2Vec,1000,None,mixed,863.1644682000006,884.3609687999997,0.9694104560622915,0.9639007269992479,0.9538576035723145,0.9588528678304239
Pt-BR_Word2Vec,1000,None,mixed,860.019934599999,913.3843730999997,0.9689469781238413,0.9669024759979787,0.9493922103696353,0.9580673425960695
Pt-BR_Word2Vec,1000,None,mixed,862.0939663000008,968.6142605999994,0.9683908045977011,0.9546574667323805,0.9610518481766311,0.9578439856595378
Pt-BR_Word2Vec,1000,None,mixed,861.1879632,639.6230347,0.9686688913607713,0.9642946944933367,0.9513768295708261,0.9577922077922079
Pt-BR_GloVe,50,None,cnn,52.1253226000008,78.66480730000148,0.9654245457916203,0.9618686868686869,0.9449268171669561,0.9533224877987736
Pt-BR_GloVe,50,None,cnn,51.05429750000076,80.66660279999996,0.9660734149054505,0.9575530586766542,0.9513768295708261,0.9544549527127925
Pt-BR_GloVe,50,None,cnn,50.15811559999929,80.6916968000005,0.9663515016685206,0.9539603960396039,0.9560903001736542,0.9550241605748977
Pt-BR_GloVe,50,None,cnn,50.42898179999975,82.9168490000011,0.9657953281423804,0.9527695351137487,0.9558422227735053,0.9543034055727554
Pt-BR_GloVe,50,None,cnn,51.90825890000042,60.491482800000085,0.9657026325546904,0.9550086999751429,0.953113371371868,0.9540600943630494
Pt-BR_GloVe,100,None,cnn,96.25618789999862,96.1556617999995,0.9676492398961809,0.9609414121181773,0.9521210617712726,0.9565109034267913
Pt-BR_GloVe,100,None,cnn,95.07326190000094,98.32002739999916,0.9670930663700408,0.9632056451612904,0.9481518233688911,0.955619452431554
Pt-BR_GloVe,100,None,cnn,94.45871500000067,100.76756209999985,0.9670003707823508,0.9636638909916729,0.9474075911684445,0.9554665999499625
Pt-BR_GloVe,100,None,cnn,94.74214419999953,102.4485192000011,0.9668149796069707,0.9594696022016512,0.9513768295708261,0.9554060787244645
Pt-BR_GloVe,100,None,cnn,96.63039589999971,81.44574049999983,0.9673711531331108,0.960450563204005,0.9518729843711238,0.9561425367555445
Pt-BR_GloVe,300,None,cnn,272.55711490000067,168.04719289999957,0.9688542825361512,0.9699821928262529,0.9459191267675515,0.9577995478522984
Pt-BR_GloVe,300,None,cnn,268.9551596000001,174.01517160000003,0.9682981090100111,0.9605493133583021,0.9543537583726123,0.9574415131906421
Pt-BR_GloVe,300,None,cnn,267.85324480000054,175.19219759999942,0.9686688913607713,0.9633626097867001,0.9523691391714215,0.9578343313373253
Pt-BR_GloVe,300,None,cnn,266.27281890000086,175.57300299999952,0.9691323692992213,0.953186274509804,0.9647730091788638,0.9589446430773024
Pt-BR_GloVe,300,None,cnn,272.24231910000026,135.14721439999994,0.968112717834631,0.9607598100474881,0.9536095261721658,0.9571713147410359
Pt-BR_GloVe,600,None,cnn,534.8273124000007,276.69299370000044,0.9692250648869114,0.9652830188679246,0.9518729843711238,0.9585311016737446
Pt-BR_GloVe,600,None,cnn,521.1781918999986,270.65676540000095,0.9674638487208009,0.9684317718940937,0.9436864301662119,0.9558989822842066
Pt-BR_GloVe,600,None,cnn,518.4764082999991,272.91057530000035,0.9680200222469411,0.9621364092276831,0.9518729843711238,0.9569771791994014
Pt-BR_GloVe,600,None,cnn,520.3972772999987,270.8465318000017,0.9666295884315906,0.9594493116395494,0.9508806747705284,0.9551457762272614
Pt-BR_GloVe,600,None,cnn,519.6361902000008,271.8324652000001,0.9675565443084909,0.9618569636135508,0.9508806747705284,0.9563373253493014
Pt-BR_GloVe,1000,None,cnn,919.7332231,350.22064079999996,0.9676492398961809,0.9682095625635809,0.9444306623666584,0.9561722968730377
Pt-BR_GloVe,1000,None,cnn,857.2604218000015,410.59577960000024,0.9673711531331108,0.9653427776372375,0.946663358967998,0.9559118236472947
Pt-BR_GloVe,1000,None,cnn,860.1807231999992,416.6530801000008,0.9675565443084909,0.9600099975006249,0.9528652939717192,0.9564243027888446
Pt-BR_GloVe,1000,None,cnn,857.4044992000017,412.93296479999844,0.9668149796069707,0.9590102474381405,0.9518729843711238,0.9554282868525896
Pt-BR_GloVe,1000,None,cnn,943.9048240000011,425.2139595000008,0.9667222840192807,0.9686064318529862,0.9414537335648723,0.9548370864259655
Pt-BR_GloVe,50,None,lstm,54.56362120000017,146.97337850000008,0.9651464590285502,0.9623071085251708,0.9436864301662119,0.9529058116232466
Pt-BR_GloVe,50,None,lstm,51.84397629999876,204.84717620000083,0.9652391546162402,0.9535980148883375,0.9533614487720169,0.9534797171566803
Pt-BR_GloVe,50,None,lstm,50.661265799997636,210.73794179999823,0.9679273266592511,0.9614325068870524,0.9523691391714215,0.9568793619142573
Pt-BR_GloVe,50,None,lstm,50.28199939999831,210.16264500000034,0.9657026325546904,0.9556883246203635,0.9523691391714215,0.9540258449304176
Pt-BR_GloVe,50,None,lstm,57.576680000000124,194.81910219999918,0.9653318502039303,0.9511472982975574,0.956338377573803,0.9537357743691242
Pt-BR_GloVe,100,None,lstm,102.38982620000002,154.04233039999986,0.9667222840192807,0.9587706146926537,0.9518729843711238,0.9553093489356405
Pt-BR_GloVe,100,None,lstm,95.63219430000026,239.2315727999994,0.9671857619577308,0.963214915595868,0.9483999007690399,0.9557500000000001
Pt-BR_GloVe,100,None,lstm,94.02007159999994,319.66423049999867,0.9669076751946607,0.9655347187024835,0.9451748945671049,0.9552463332079728
Pt-BR_GloVe,100,None,lstm,94.49636309999914,338.75712639999983,0.9667222840192807,0.9655172413793104,0.9446787397668073,0.9549843260188089
Pt-BR_GloVe,100,None,lstm,96.29166689999875,177.0496222999991,0.9664441972562106,0.9617417568587969,0.9479037459687423,0.9547726136931535
Pt-BR_GloVe,300,None,lstm,283.6441367,202.03903990000026,0.9689469781238413,0.9671385237613751,0.9491441329694865,0.9580568423688494
Pt-BR_GloVe,300,None,lstm,268.0813918999993,813.5967949000005,0.9671857619577308,0.9583644976315133,0.9536095261721658,0.9559810992290475
Pt-BR_GloVe,300,None,lstm,266.2811645999973,867.3030536000006,0.968112717834631,0.9642407454041803,0.949888365169933,0.9570107473131716
Pt-BR_GloVe,300,None,lstm,266.7196757999991,862.8913169000007,0.9676492398961809,0.9591022443890275,0.9541056809724634,0.9565974381295859
Pt-BR_GloVe,300,None,lstm,291.0971702000006,410.69360190000043,0.967741935483871,0.9635036496350365,0.9496402877697842,0.9565217391304348
Pt-BR_GloVe,600,None,lstm,559.6510475,335.91466820000005,0.9674638487208009,0.9597701149425287,0.9528652939717192,0.9563052408813643
Pt-BR_GloVe,600,None,lstm,517.7204012,313.76572280000005,0.9682981090100111,0.9659004799191715,0.9486479781691888,0.9571964956195245
Pt-BR_GloVe,600,None,lstm,515.281967,308.4875253,0.9665368928439007,0.9707542329399692,0.9387248821632349,0.9544709294993065
Pt-BR_GloVe,600,None,lstm,521.3452050999999,324.03806350000013,0.968112717834631,0.9619143071911802,0.9523691391714215,0.9571179257043132
Pt-BR_GloVe,600,None,lstm,578.9564343000002,965.5284625999993,0.9667222840192807,0.9669379450661241,0.9431902753659142,0.9549164887605173
Pt-BR_GloVe,1000,None,lstm,930.4437264000003,543.4622733999995,0.967834631071561,0.960960960960961,0.9526172165715703,0.9567708982185126
Pt-BR_GloVe,1000,None,lstm,851.1880646,507.76185989999976,0.9668149796069707,0.9686144424598112,0.941701810965021,0.9549685534591195
Pt-BR_GloVe,1000,None,lstm,847.7266184,489.82578360000025,0.9657026325546904,0.9637699518621738,0.9436864301662119,0.9536224617698672
Pt-BR_GloVe,1000,None,lstm,852.7568105999999,600.9320709999993,0.9679273266592511,0.9623588456712673,0.9513768295708261,0.9568363273453094
Pt-BR_GloVe,1000,None,lstm,922.5746249999993,1939.9716198999995,0.9685761957730812,0.963819095477387,0.9516249069709749,0.9576831856197728
Pt-BR_GloVe,50,None,mixed,55.51722840000002,398.9644765000003,0.967741935483871,0.9689330277565572,0.9439345075663607,0.9562704197034431
Pt-BR_GloVe,50,None,mixed,51.408518999999615,420.2853234999993,0.9690396737115313,0.9662042875157629,0.9503845199702307,0.9582291145572787
Pt-BR_GloVe,50,None,mixed,53.89408530000037,436.72858110000016,0.9672784575454209,0.9625251509054326,0.9493922103696353,0.9559135756213312
Pt-BR_GloVe,50,None,mixed,49.61416850000023,454.56199819999983,0.9675565443084909,0.9639526090244517,0.9486479781691888,0.9562390597649412
Pt-BR_GloVe,50,None,mixed,49.5870649,364.19392170000003,0.9669076751946607,0.9712673165726013,0.9392210369635327,0.954975406734771
Pt-BR_GloVe,100,None,mixed,102.41344850000041,436.8902406999996,0.9680200222469411,0.9658746208291203,0.9479037459687423,0.9568048078126957
Pt-BR_GloVe,100,None,mixed,92.83933139999999,365.9144803999999,0.9685761957730812,0.9671052631578947,0.9481518233688911,0.9575347613679068
Pt-BR_GloVe,100,None,mixed,92.29368690000001,372.4859013,0.9672784575454209,0.9590614078881677,0.953113371371868,0.9560781386089336
Pt-BR_GloVe,100,None,mixed,93.36071679999986,499.2229346999993,0.9676492398961809,0.9632611977856065,0.9496402877697842,0.9564022485946283
Pt-BR_GloVe,100,None,mixed,93.24194820000048,539.7738107000005,0.9685761957730812,0.9628886659979939,0.9526172165715703,0.9577254021698466
Pt-BR_GloVe,300,None,mixed,287.4583542999999,517.8229148999999,0.968112717834631,0.9642407454041803,0.949888365169933,0.9570107473131716
Pt-BR_GloVe,300,None,mixed,268.74772419999863,939.5576942999996,0.9670003707823508,0.9686304514154552,0.9421979657653188,0.95523138832998
Pt-BR_GloVe,300,None,mixed,265.2919624999995,1006.7278704,0.9692250648869114,0.9643484810444388,0.9528652939717192,0.9585724981282755
Pt-BR_GloVe,300,None,mixed,264.7147272000002,1081.9749885,0.9685761957730812,0.9544559330379123,0.9617960803770776,0.9581119485975533
Pt-BR_GloVe,300,None,mixed,270.7893389,427.9838708,0.9689469781238413,0.9733606557377049,0.9426941205656165,0.9577819785759294
Pt-BR_GloVe,600,None,mixed,561.6080292999995,654.8941542000002,0.9693177604746014,0.9622688655672164,0.9553460679732076,0.9587949707456741
Pt-BR_GloVe,600,None,mixed,518.1438249000003,1278.642719800002,0.9693177604746014,0.9552165354330708,0.9630364673778219,0.959110562075355
Pt-BR_GloVe,600,None,mixed,518.4988959000002,1336.8120916000007,0.9685761957730812,0.9656912209889001,0.9496402877697842,0.9575984990619137
Pt-BR_GloVe,600,None,mixed,521.7693909000009,1401.032573700002,0.967741935483871,0.9682176455631833,0.9446787397668073,0.9563033651431443
Pt-BR_GloVe,600,None,mixed,518.136796,510.3600295000001,0.9708935854653319,0.9635819406335745,0.9583229967749938,0.9609452736318408
Pt-BR_GloVe,1000,None,mixed,930.5919281000006,831.3012464000003,0.9686688913607713,0.9723714504988488,0.9429421979657653,0.9574307304785893
Pt-BR_GloVe,1000,None,mixed,857.6824025999995,1680.5202217000005,0.9692250648869114,0.959731543624161,0.9578268419746961,0.9587782468338714
Pt-BR_GloVe,1000,None,mixed,848.1629325000031,1632.0771518000001,0.9697812384130515,0.96347260445334,0.9553460679732076,0.9593921275535625
Pt-BR_GloVe,1000,None,mixed,851.186224000001,1733.735099900001,0.9685761957730812,0.9558024691358025,0.9603076159761845,0.9580497463185249
Pt-BR_GloVe,1000,None,mixed,846.2393576,643.6603941000001,0.9693177604746014,0.9606573705179283,0.9570826097742495,0.9588666583820058
